y_true,y_pred,y_prob
1.0,1,0.9134201
0.0,1,0.80349725
1.0,0,0.43187708
0.0,0,0.03561996
1.0,1,0.7404314
0.0,1,0.83964807
1.0,1,0.6387529
1.0,1,0.81874865
1.0,0,0.3539107
0.0,1,0.66893333
1.0,1,0.6761012
1.0,1,0.6775148
1.0,1,0.8132418
1.0,0,0.17363423
1.0,1,0.90499794
1.0,1,0.74751395
0.0,0,0.31047314
0.0,0,0.0770724
1.0,1,0.6418077
1.0,1,0.8386746
0.0,1,0.51852894
1.0,1,0.8954916
0.0,1,0.648732
0.0,1,0.6062151
0.0,1,0.74314207
1.0,1,0.5017302
0.0,0,0.37362704
0.0,0,0.32985866
1.0,1,0.57112116
1.0,0,0.34063336
0.0,0,0.3062107
1.0,0,0.3938618
1.0,1,0.71209675
1.0,1,0.8075703
1.0,0,0.4404636
1.0,1,0.908164
0.0,0,0.12930298
0.0,0,0.07681145
1.0,1,0.9025976
0.0,1,0.58563143
1.0,1,0.6295712
1.0,1,0.73217845
0.0,1,0.5444331
0.0,1,0.74148154
1.0,1,0.71602875
1.0,1,0.80574626
0.0,0,0.27682412
1.0,1,0.6799498
1.0,1,0.66425276
0.0,1,0.8679
1.0,1,0.68402594
1.0,1,0.6934729
1.0,1,0.7237452
1.0,1,0.84198296
1.0,1,0.8380246
1.0,1,0.52697915
0.0,0,0.02766399
1.0,1,0.59416556
0.0,1,0.68659997
1.0,1,0.8404785
1.0,0,0.40177882
0.0,0,0.05433777
0.0,0,0.11185051
1.0,1,0.6626972
0.0,0,0.26760006
1.0,1,0.5416991
0.0,0,0.12949382
0.0,1,0.693428
1.0,1,0.81094897
1.0,1,0.7936291
0.0,0,0.110771894
1.0,1,0.558882
1.0,1,0.8855451
0.0,0,0.095756724
1.0,1,0.58312565
0.0,1,0.72570306
1.0,0,0.45396122
1.0,1,0.739729
1.0,1,0.61793745
1.0,1,0.86443704
1.0,1,0.7652988
0.0,1,0.8050825
1.0,1,0.9154253
0.0,0,0.01913892
1.0,1,0.57504004
0.0,1,0.5740649
1.0,1,0.81736755
0.0,1,0.74939436
