age,Systolic blood pressure,Diastolic blood pressure,Fasting Glucose,Glycohemoglobin,Low-density lipoprotein,High-density lipoprotein,Triglyceride,hypertension,diabetes,Coronary Heart Disease,smoke,sleep time,stroke_pred_proba_percent
30,100,70,8.0,7.5,3.0,1.3,3.0,0,1,1,1,6,32.72
40,100,90,4.5,9.0,3.0,1.6,2.0,0,0,1,1,8,40.97
20,100,90,5.5,6.5,3.0,1.6,3.0,0,1,1,0,6,32.26
70,120,60,5.5,4.5,3.0,1.0,3.0,1,0,0,0,6,49.18
50,120,60,10.0,5.5,4.0,1.0,1.5,0,0,1,1,6,65.86
20,180,70,8.0,4.5,3.0,0.8,3.0,1,1,0,0,10,58.29
30,120,60,4.5,7.5,4.0,1.6,2.0,0,0,0,0,10,52.99
40,160,90,10.0,6.5,3.0,1.0,1.5,1,1,0,0,10,38.31
60,100,90,6.5,7.5,3.0,1.3,1.5,1,1,0,0,8,26.21
30,180,80,10.0,4.5,3.0,1.0,3.0,1,0,0,0,4,55.02
30,180,60,4.5,7.5,2.0,1.3,3.0,0,0,1,0,8,35.43
80,120,100,5.5,5.5,5.0,1.3,1.0,1,0,1,1,4,59.87
60,160,60,8.0,7.5,4.0,1.0,1.5,0,0,1,1,8,67.95
60,180,100,8.0,5.5,2.0,1.3,1.5,0,0,1,1,6,51.16
50,180,80,4.5,5.5,4.0,1.0,1.5,1,1,1,0,10,61.24
30,140,70,6.5,6.5,4.0,1.6,1.0,0,1,0,1,10,61.67
60,100,100,4.5,6.5,4.0,1.6,1.0,1,0,0,1,4,32.9
70,180,90,5.5,4.5,3.0,1.6,3.0,1,0,0,1,6,42.14
30,140,90,5.5,4.5,5.0,1.3,1.0,0,0,0,1,8,34.51
80,120,100,10.0,6.5,2.0,1.6,3.0,0,0,0,1,10,36.46
60,180,80,6.5,5.5,4.0,0.8,2.0,1,1,1,1,6,56.74
20,100,60,5.5,9.0,2.0,0.8,1.0,0,0,0,1,6,41.64
80,120,80,8.0,7.5,3.0,1.3,3.0,0,1,1,0,6,40.82
50,180,100,4.5,9.0,2.0,1.3,1.0,1,0,1,0,4,46.13
50,100,100,10.0,9.0,4.0,1.0,3.0,1,1,1,1,8,36.54
20,160,60,5.5,6.5,2.0,1.0,3.0,1,0,1,1,8,34.98
30,120,60,10.0,9.0,3.0,0.8,1.5,0,1,0,1,10,44.15
30,160,100,6.5,4.5,3.0,1.3,1.0,1,1,0,0,10,35.75
60,120,80,8.0,4.5,3.0,1.6,2.0,1,0,0,1,8,48.55
70,140,100,4.5,7.5,5.0,0.8,2.0,1,0,0,0,8,34.09
20,100,60,4.5,6.5,4.0,1.6,1.0,1,0,0,0,8,51.04
70,100,80,4.5,7.5,4.0,0.8,1.5,0,1,1,0,8,59.73
50,120,70,6.5,9.0,5.0,0.8,3.0,1,0,0,1,10,61.49
80,180,90,4.5,5.5,5.0,0.8,3.0,0,0,1,1,8,48.33
30,160,90,4.5,6.5,3.0,0.8,2.0,0,0,1,0,6,45.34
60,100,100,8.0,4.5,4.0,1.0,1.5,1,0,1,1,8,57.56
80,140,70,10.0,5.5,5.0,1.6,3.0,0,0,1,0,6,44.62
30,160,70,6.5,4.5,3.0,1.6,3.0,1,1,0,1,4,51.91
80,140,70,4.5,4.5,4.0,1.0,3.0,1,1,0,1,6,51.12
80,160,80,8.0,5.5,2.0,1.6,3.0,1,1,1,0,4,41.22
20,160,80,8.0,6.5,4.0,1.0,1.0,1,1,1,0,4,67.75
60,180,80,4.5,4.5,2.0,0.8,1.5,1,0,1,1,10,47.74
